Date,Time,levelname,Component,message,processname
2020-05-26,"09:40:49,569",INFO,ForkPoolWorker-6,"topic #2 (0.200): 0.017*""코로나"" + 0.005*""방역"" + 0.005*""정부"" + 0.004*""국회"" + 0.004*""경제"" + 0.004*""기자"" + 0.004*""환경"" + 0.003*""회의"" + 0.003*""의원"" + 0.003*""협력""",celery9-6.log
2020-05-26,"09:45:23,721",WARNING,ForkPoolWorker-6,<Response [200]>,celery2-6.log
2020-05-26,"09:45:23,724",INFO,ForkPoolWorker-6,Task task_analysis.sna[eb75abd8-2325-47e3-b646-813b2c8d4e84] succeeded in 0.7562408149242401s: None,celery2-6.log
2020-05-26,"10:24:29,921",WARNING,ForkPoolWorker-6,make graph,celery8-6.log
2020-05-26,"10:24:31,634",WARNING,ForkPoolWorker-6,X.shape :,celery8-6.log
2020-05-26,"10:17:13,714",INFO,MainProcess,Received task: task_analysis.sna[c461b2b3-e53c-4400-9953-50b43c2ec76d],celery6.log
2020-05-26,"10:24:31,634",WARNING,ForkPoolWorker-6,"(11116, 1126)",celery8-6.log
2020-05-26,"10:17:14,991",INFO,MainProcess,Received task: task_analysis.sna[b5f3599a-8513-492e-9004-c73f1ce96b98],celery7.log
2020-05-26,"10:24:32,394",WARNING,ForkPoolWorker-6,graphbuild_finish,celery8-6.log
2020-05-26,"10:24:32,404",WARNING,ForkPoolWorker-6,<Response [200]>,celery8-6.log
2020-05-26,"10:33:14,328",INFO,ForkPoolWorker-6,Task task_analysis.topic[43365875-6c96-4488-b2b0-68bd69016f3a] succeeded in 960.4644470922649s: None,celery5-6.log
2020-05-26,"10:33:14,307",WARNING,ForkPoolWorker-6,<Response [200]>,celery5-6.log
2020-05-26,"10:33:14,201",WARNING,ForkPoolWorker-6,WorkingTime: 960.3377289772034 sec,celery5-6.log
2020-05-26,"10:33:14,148",WARNING,ForkPoolWorker-6,/opt/wigo/anaconda3/lib/python3.7/site-packages/pyLDAvis/_prepare.py:257: FutureWarning: Sorting because non-concatenation axis is not aligned. A future version,celery5-6.log
2020-05-26,"10:17:33,338",WARNING,ForkPoolWorker-6,"/opt/wigo/anaconda3/lib/python3.7/site-packages/joblib/parallel.py:673: UserWarning: Loky-backed parallel loops cannot be called in a multiprocessing, setting n_jobs=1",celery5-6.log
2020-05-26,"10:17:24,305",INFO,ForkPoolWorker-6,NumExpr defaulting to 8 threads.,celery5-6.log
2020-05-26,"10:17:24,305",INFO,ForkPoolWorker-6,"Note: NumExpr detected 20 cores but ""NUMEXPR_MAX_THREADS"" not set, so enforcing safe limit of 8.",celery5-6.log
2020-05-26,"10:24:32,406",INFO,ForkPoolWorker-6,Task task_analysis.sna[7cae05a6-757a-40d8-8b2c-3a0e74a802e0] succeeded in 2.4855250902473927s: None,celery8-6.log
2020-05-26,"10:17:22,265",INFO,ForkPoolWorker-6,"topic diff=2.154618, rho=1.000000",celery5-6.log
2020-05-26,"10:17:22,265",INFO,ForkPoolWorker-6,"topic #4 (0.200): 0.014*""코로나"" + 0.006*""사업"" + 0.005*""기업"" + 0.004*""환경"" + 0.004*""지원"" + 0.004*""기자"" + 0.004*""정부"" + 0.004*""지역"" + 0.003*""방역"" + 0.003*""한국""",celery5-6.log
2020-05-26,"10:13:05,678",INFO,ForkPoolWorker-6,Task task_analysis.sna[39c6128a-1bab-462e-a94f-e3192fc21c64] succeeded in 3.8578985892236233s: None,celery4-6.log
2020-05-26,"10:17:13,864",WARNING,ForkPoolWorker-6,topic,celery5-6.log
2020-05-26,"10:17:13,939",INFO,ForkPoolWorker-6,adding document #0 to Dictionary(0 unique tokens: []),celery5-6.log
2020-05-26,"10:17:14,418",INFO,ForkPoolWorker-6,"built Dictionary(15835 unique tokens: ['2차', '가능', '가운데', '감염증', '강조']...) from 1872 documents (total 426931 corpus positions)",celery5-6.log
2020-05-26,"10:17:14,851",INFO,ForkPoolWorker-6,using symmetric alpha at 0.2,celery5-6.log
2020-05-26,"10:17:14,851",INFO,ForkPoolWorker-6,using symmetric eta at 0.2,celery5-6.log
2020-05-26,"10:24:28,994",INFO,MainProcess,Received task: task_analysis.sna[7cae05a6-757a-40d8-8b2c-3a0e74a802e0],celery8.log
2020-05-26,"10:13:05,675",WARNING,ForkPoolWorker-6,<Response [200]>,celery4-6.log
2020-05-26,"10:13:00,530",INFO,MainProcess,Received task: task_analysis.sna[39c6128a-1bab-462e-a94f-e3192fc21c64],celery4.log
2020-05-26,"09:40:49,548",INFO,ForkPoolWorker-6,merging changes from 1419 documents into a model of 5419 documents,celery9-6.log
2020-05-26,"10:13:04,581",WARNING,ForkPoolWorker-6,"(18117, 992)",celery4-6.log
